,title,paragraph
10,खेम करण सिंह,खेम करण सिंह को प्रशासकीय सेवा के क्षेत्र में भारत सरकार द्वारा सन १९७२ में पद्म भूषण से सम्मानित किया गया था। ये पंजाब से हैं।
11,गगनदीप बक्शी,"मेजर जनरल (डॉ.) गगनदीप बक्शी (सेना पदक, विशिष्ट सेवा पदक) भारतीय सेना के एक सेवानिवृत अधिकारी एवं लेखक हैं। वे 'जी डी बक्शी' नाम से प्रसिद्ध हैं। वे जम्मू एवं कश्मीर राइफल्स में थे। उन्हे कारगिल युद्ध में एक बटालियन का नायकत्व (कमाण्ड) करने के लिए विशिष्ट सेवा पदक से सम्मानित किया गया। उन्होंने अंग्रेजी भाषा में बोस: एन इंडियन समुराई ए मिलेट्री  एसेस्मेंट  नेताजी एंड द आई एन ए (BOSE: AN INDIAN SAMURAI (A Military Assessment of Netaji and the INA)[1] नामक पुस्तक भी लिखी है। 
सरस्वती सभ्यता पुस्तक लिखकर इन्होंने भारत के प्राचीनतम सभ्यता होने को सिद्ध किया है।
बाद में उन्होंने जम्मू और कश्मीर के राजौरी-पुंछ जिलों में उग्रवाद विरोधी अभियानों के दौरान रोमियो फोर्स (कुलीन राष्ट्रीय राइफल्स का हिस्सा) की कमान संभाली और इस क्षेत्र में सशस्त्र उग्रवाद को दबाने में सफल रहे। उन्होंने सैन्य संचालन महानिदेशालय में दो कार्यकालों की सेवा की है और वह मुख्यालय उत्तरी कमान (भारत) में पहले बीजीएस (आईडब्ल्यू) थे, जहां उन्होंने सूचना युद्ध और मनोवैज्ञानिक संचालन से निपटा था। सेना और रक्षा से संबंधित विषयों पर विचार प्रदान करने के लिए उन्हें अक्सर भारत भर के समाचार चैनलों पर बुलाया जाता है।[2]बख्शी का जन्म जबलपुर, मध्य प्रदेश में हुआ था। उन्होंने सेंट एलॉयसियस सीनियर सेकेंडरी स्कूल, जबलपुर और मद्रास विश्वविद्यालय में शिक्षा प्राप्त की।[3]"
12,गजेन्द्र सिंह बिष्ट,"चित्र:NSG-India.png51 एसएजी, एनएसजीएनएसजी-इंडिया 51 एसएजी, एनएसजीगजेंद्र सिंह बिष्ट (1 9 72-28 नवंबर 2008) एक एनएसजी कमांडो और हवालदार ( सर्जेंट ) थे , जिनकी 2008 के मुंबई आतंकवादी हमले के दौरान मृत्यु हो गई थी। भारत के गणतंत्र दिवस 26 जनवरी 2009 को भारत के राष्ट्रपति द्वारा अशोक चक्र पुरस्कार के साथ उनकी बहादुरी का सम्मान सम्मानित किया गया।उत्तराखंड के गणेशपुर में जन्मे, युवा गजेंद्र सिंह नया गांव में जनता इंटर कॉलेज में पढ़ाई करते थे। उन्हें अपने शिक्षकों द्वारा एक अनुशासित छात्र के रूप में याद किया जाता था , जिन्होंने स्कूल में आयोजित हर घटना में भाग लिया, चाहे वह खेल या सांस्कृतिक गतिविधियों हो। मुक्केबाजी में उनकी विशेष रुचि थी।"
13,ग्रेनेडियर योगेन्द्र सिंह यादव,"सम्मानित कैप्टन योगेन्द्र सिंह , पिभिसि भारतीय सेना अधिकारी हैं, जिन्हें कारगिल युद्ध के दौरान 4 जुलाई 1999 की कार्रवाई के लिए उच्चतम भारतीय सैन्य सम्मान परमवीर चक्र से सम्मानित किया गया। मात्र 19 वर्ष की आयु में परमवीर चक्र प्राप्त करने वाले ग्रेनेडियर यादव, सबसे कम उम्र के सैनिक हैं जिन्हें यह सम्मान प्राप्त हुआ।कैप्टन योगेंद्र सिंह यादव का जन्म 10 मई 1980 को उत्तर प्रदेश के बुलंदशहर जिले औरंगाबाद अहीर गांव में एक फौजी परिवार में हुआ था। उनके पिता राम करण सिंह यादव ने 1965 और 1971 के भारत-पाकिस्तान युद्धों में भाग लेकर कुमाऊं रेजिमेंट में सेवा की थी। पिता से 1962 भारत चीन युद्ध और 1965 और 1971 के भारत पाकिस्तान युद्ध की कहानियां सुनकर बड़े हुए दोनों भाई भारतीय सेना में भर्ती हुए,इनके बड़े भाई जितेंद्र सिंह यादव भी सेना की आर्टिलरी शाखा में हैं, यादव 16 साल और 5 महीने की उम्र में ही भारतीय सेना में शामिल हो गए थे। इनके छोटे भाई एक बहुराष्ट्रीय कंपनी में कार्यरत हैग्रेनेडियर यादव 18 ग्रेनेडियर्स के साथ कार्यरत कमांडो प्लाटून 'घातक' का हिस्सा थे, जो 4 जुलाई 1999 के शुरुआती घंटों में टाइगर हिल पर तीन सामरिक बंकरों पर कब्ज़ा करने के लिए नामित की गयी थी। बंकर एक ऊर्ध्वाधर, बर्फ से ढके हुए 1000 फुट ऊंची चट्टान के शीर्ष पर स्थित थे। यादव स्वेच्छा से चट्टान पर चढ़ गए और भविष्य में आवश्यकता की सम्भावना के चलते रस्सियों को स्थापित किया। आधे रस्ते में एक दुश्मन बंकर ने मशीन गन और रॉकेट फायर खोल दी जिसमे प्लाटून कमांडर और दो अन्य शहीद हो गए। अपने गले और कंधे में तीन गोलियों के लगने के बावजूद, यादव शेष 60 फीट चढ़ गए और शीर्ष पर पहुंचे। गंभीर रूप से घायल होने के बावजूद वह पहले बंकर में घुस गए और एक ग्रेनेड से चार पाकिस्तानी सैनिकों की हत्या कर दी और दुश्मन को स्तब्ध कर दिया, जिससे बाकी प्लाटून को चट्टान पर चढ़ने का मौका मिला।"
14,चेवांग रिंचेन,"कर्नल चेवांग रिनचेन (अंग्रेज़ी: Chewang Rinchen) भारत के केन्द्र शासित प्रदेश लद्दाख से भारतीय सेना के अधिकारी थे।[1][2]रिन्चेन १९४७ में नुब्रा गार्ड में शामिल हुए और १९४७ में भारत-पाकिस्तान युद्ध में भारतीय सेना इकाइयों के साथ काम किया। नुब्रा घाटी के लड़ाई में भाग लिया था, उन्हें रैंकों के माध्यम से पदोन्नत किया गया था और बहादुरी के लिए महावीर चक्रर से सम्मानित किया गया था।रेंचेन ने १९६२ में भारत-चीन युद्ध में भी सेवा की, जहां उन्हें सेना पदक से सम्मानित किया गया।
१९७१ का भारत-पाक युद्ध में रिनचेन, जो अब लद्दाख स्काउट्स में एक प्रमुख है, पाकिस्तानी सेना के चालुनका परिसर और तुरतुक के सामरिक चौकी पर कब्जा कर लिया।[3][4][5] इन कार्यों के लिए, उन्हें अपने एमवीसी के लिए एक बार से सम्मानित किया गया, जो कि केवल छह भारतीय सैनिकों में से एक है, जिन्हें सम्मानित किया गया है।"
15,छेरिंग मुटुप,"नायब सूबेदार छेरिंग मुटुप, एसी एक सेवानिवृत्त भारतीय सेना के जूनियर कमीशंड ऑफिसर थे जिन्हें भारत के सर्वोच्च शांति काल सैन्य  सम्मान अशोक चक्र से सम्मानित किया गया था। [1]नायब सूबेदार छेरिंग मुटुप का जन्म कश्मीर के उत्तरी क्षेत्र लद्दाख के लेह जिले के लिकर गांव में हुआ था। अपर्याप्त शिक्षा सुविधाओं के कारण, वह उचित शिक्षा के लिए जाने में असमर्थ थे।वह 23 जून 1965 को लद्दाख स्काउट्स में एक सैनिक के रूप में भारतीय सेना में शामिल हुए।"
16,जस राम सिंह,"लेफ्टिनेंट कर्नल जस राम सिंह, एसी (1 मार्च 1935) एक सेवानिवृत्त भारतीय सेना अधिकारी थे और भारत के सर्वोच्च शांति काल के सैन्य अलंकरण अशोक चक्र के प्राप्तकर्ता थे।[1]लेफ्टिनेंट कर्नल जस राम सिंह का जन्म 1 मार्च 1935 को उत्तर प्रदेश के बुलंदशहर जिले के भाभोकरा गाँव में हुआ था। [2] उनके पिता, श्री बदन सिंह एक साधारण किसान थे और अपने बच्चों में ईमानदारी, निष्ठा और सादा जीवन व्यतीत करते थे। बुनियादी सुविधाओं और यहां तक कि उनके गांव में एक प्राथमिक विद्यालय के अभाव में, लेफ्टिनेंट कर्नल जस राम सिंह को बचपन में संघर्ष करना पड़ा। उनकी प्राथमिक शिक्षा दूसरे गाँव में हुई जिसके बाद उन्होंने अपनी उच्च शिक्षा के लिए खुर्जा में NREC ज्वाइन किया।वह एक सिग्नलमैन के रूप में सेना में शामिल हुए। कई सिग्नल रेजिमेंट में सेवा देने के बाद, उन्हें आर्मी एजुकेशनल कॉर्प्स में एक प्रशिक्षक के रूप में चुना गया, जहां वे 1963 तक जारी रहे। उसी वर्ष, उन्हें ओटीएस, मद्रास से राजपूत रेजिमेंट में एक आपातकालीन कमीशन अधिकारी के रूप में नियुक्त किया गया।"
17,जसवंत सिंह,"राजपूताना, ब्रिटिश भारतगौत्र - राठौर,  हिन्दू धर्म"
18,जे॰एफ॰आर॰ जैकब,"जैकब फ़र्ज राफ़ेल जैकब (1923 – 13 जनवरी 2016) जिन्हें मुख्यतः उनके नाम के प्रथम अक्षरों जे॰एफ॰आर॰ के नाम से ही जाना जाता है, भारत के पूर्व सैन्य अधिकारी लेफ्टिनेंट जनरल थे। वो १९७१ के भारत-पाक युद्ध में विजय और बांग्लादेश मुक्ति युद्ध के लिए जाने जाते हैं।"
19,जोगिन्दर जसवन्त सिंह,"जनरल जोगिन्दर जसवन्त सिंह पीवीएसएम, एवीएसएम, वीएसएम, एडीसी (जन्म: ११ सितम्बर १९४५) भारतीय थल सेना के बाईसवें सेनाध्यक्ष थे। वह ३१ जनवरी २००५ से ३० सितम्बर २००७ तक सेना प्रमुख के रूप में कार्यरत रहे। सिंह को २७ नवंबर २००४ को जनरल एन सी विज की सेवानिवृति के बाद सेनाध्यक्ष नियुक्त किया गया था, और ३१ जनवरी २००५ को सेवानिवृत्त होने तक वह इस पद पर रहे। उनके बाद जनरल दीपक कपूर थल सेना के अगले सेनाध्यक्ष बने।जोगिन्दर जसवन्त सिंह भारतीय सेना का नेतृत्व करने वाले पहले सिख सिपाही हैं, और चण्डीमन्दिर में स्थित पश्चिमी कमान से आने वाले ग्यारहवें सैन्य प्रमुख हैं। सेवानिवृत्ति के बाद वह २७ जनवरी २००८ को अरुणाचल प्रदेश के राज्यपाल बने।[1]जोगिन्दर जसवन्त सिंह का जन्म ११ सितम्बर १९४५ को बहावलपुर रियासत के शम्मा सट्टा नगर में हुआ था, और वह लेफ्टिनेंट कर्नल जसवन्त सिंह मारवाह (ज २१ जनवरी १९२१) और उनकी पत्नी जसपाल कौर (१९२३-२००६) की प्रथम सन्तान थे। उनका परिवार मूलतः रावलपिंडी के दोलताला नगर से था। अपने परिवार में वह तीसरी पीढ़ी के सैनिक हैं; उनके दादा सिपाही आत्मा सिंह मारवा (१८९६-१९६८) १९१४ में ब्रिटिश भारतीय सेना के १/६७ पंजाब रेजिमेंट में एक ड्रमर के रूप में भर्ती हुए थे, और प्रथम विश्व युद्ध के दौरान मेसोपोटामियन अभियान में कुट की घेराबंदी में लड़े थे।[2] अपनी दाहिनी कोहनी और हाथ में चोट लगने पर उन्हें छुट्टी देकर दक्षिणी फ्रांस भेज दिया गया, जिसके बाद १९१८ में वह सेवानिवृत हो गए।"
20,ज़ोरावर चन्द बख्शी,"भारतीय थलसेना१९६५ का भारत-पाक युद्धपरम विशिष्ट सेवा पदक
 महावीर चक्र
 वीर चक्र"
21,तपीश्वर नारायण रैना,"जनरल  तापेश्वर नारायण रैना  'पद्म भूषण, महावीर चक्र (1921 और 19 मई 1980) भारतीय सेना के पूर्व सेना प्रमुख,भारत के थलसेनाध्यक्ष[2], उनका कार्यकाल 1975 और 1978 के बीच रहा। बाद में, उन्होंने कनाडा के उच्चायुक्त के रूप में कार्य किया। वह भारत के तीसरे उच्चतम नागरिक सम्मान, पद्म भूषण के प्राप्तकर्ता थे। [3]उन्होंने लुधियाना में शिक्षा प्राप्त की थी जहाँ उनके पिता, बी॰ एन॰ रैना, को पोस्टमास्टर के प्रमुख के रूप में तैनात किया गया था।[4][5]रैना ने कुमाऊं रेजिमेंट के साथ काम किया [6] और द्वितीय विश्व युद्ध का एक अनुभवी और साथ ही साथ 1962 के भारत-पाकिस्तान युद्ध और १९७१ का भारत-पाक युद्ध में भी हिस्सा लिया था। [7]"
22,तुकाराम ओम्बले,"तुकाराम ओम्बले जो कि भारत के महाराष्ट्र मुम्बई में मुंबई पुलिस कार्यरत एक सहायक पुलिस इंस्पेक्टर थे। जिनकी मृत्यु आतंकवादी से लड़ते हुए २६ नवम्बर को २००८ के मुम्बई हमले में हुई थी , इन्होंने अजमल कसाब को जीवित पकड़ने में सफलता प्राप्त की थी लेकिन उसी वक़्त अजमल कसाब ने उन्हें गोलियों से भून दिया था इस कारण तुकाराम की मौके पर ही मौत हो गई थी। ओम्बले एक इस साहसपूर्ण कार्य के लिए भारत सरकार ने वीरता के लिए अशोक चक्र से नवाजा गया। [1]ओम्बले मुम्बई पुलिस में एक सहायक उप के पद पर एक इंस्पेक्टर था। इन्होंने २००८ के मुंबई हमले में अजमल कसाब को जीवित पकड़ा था लेकिन कसाब ने उनपर गोलियां दाग दी और मौके पर ही मृत्यु हो गई थी।[कृपया उद्धरण जोड़ें].
ओम्बले के इस सरहानीय कार्य के लिए मरणोप्रांत अशोक चक्र से सम्मानित किया गया। [2] The Government of India awarded Tukaram Omble with the Ashoka Chakra, India's highest peacetime gallantry award.[3]"
23,दलबीर सिंह सुहाग,"जनरल दलबीर सिंह सुहाग, परम विशिष्ट सेवा पदक, उत्तम युद्ध सेवा पदक, अति विशिष्ट सेवा पदक, विशिष्ट सेवा पदक,[1] भारतीय थलसेना के २६वें थलसेनाध्यक्ष हैं। उन्होंने ३१ जुलाई २०१४ को जनरल बिक्रम सिंह के सेवा निवृत्त होने के बाद यह पद ग्रहण किया।[2][3]उनका जन्म हरियाणा के झज्जर जिले के बिशन गाँव में जाट समुदाय के एक परिवार में हुआ।[4]"
24,दिगेंद्र कुमार,"नायक दिगेन्द्र कुमार (परस्वाल) (३ जुलाई १९६९) महावीर चक्र विजेता, भारतीय सेना की 2 राज राइफल्स में थे। उन्होंने कारगिल युद्ध के समय जम्मू कश्मीर में तोलोलिंग पहाड़ी की बर्फीली चोटी को मुक्त करवाकर १३ जून १९९९ की सुबह चार बजे तिरंगा लहराते हुए भारत को प्रथम सफलता दिलाई जिसके लिए उन्हें भारत सरकार द्वारा १५ अगस्त १९९९ को महावीर चक्र से अलंकृत किया गया।बहादुर बालक दिगेन्द्र का जन्म राजस्थान के सीकर जिले की नीम का थाना तहसील के गाँव झालरा में शिवदान सिंह परसवाल के घर श्रीमती राजकौर उर्फ़ घोटली के गर्भ से ३ जुलाई १९६९ को हुआ।[1] वे स्वयं भी क्रांतिकारी परिवार की संतान थीं। राजकौर के पिता बुजन शेरावत स्वतंत्रता सेनानी थे। वे हरियाणा प्रान्त में महेंद्रगढ़ जिले की नारनौल तहसील में सिरोही भाली गाँव के रहने वाले थे। बुजन शेरावत सुभाषचंद्र बोस की आजाद हिंद फौज के सिपाही थे जो द्वितीय विश्वयुद्ध के दौरान बसरा-बगदाद की लडाई में वीरगति को प्राप्त हुए।[1] दिगेंद्र के पिता शिवदान आर्य समाज के सदस्य थे। देश की स्वतंत्रता एवं जनजागृति के लिए गाँव-गाँव जाकर प्रचार करते थे। वे भजनोपदेशक भी थे। रहबरे आजम दीनबंधु सर छोटूराम के आव्हान पर वे रेवाडी में जाकर सेना में भरती हो गए। १९४८ में पाकिस्तान के साथ युद्ध में पीर बडेसर की पहाड़ी पर साँस की नाली में ताम्बे की गोलियाँ घुस गई जो जीते जी वापिस नहीं निकलवाईं। उनके जबड़े में ११ गोलियां लगी थीं।[1] पिता की प्रेरणा से दिगेंद्र 2 राज राइफल्स में भरती हो गए। सेना में वह हर गतिविधि चाहे दौड़ हो, निशानेबाजी हो, या कोई अन्य कार्य हमेसा प्रथम रहे, तथा उनको भारतीय सेना के सर्वश्रेष्ठ कमांडो के रूप में ख्याति मिली।[1]१९९३ में दिगेंद्र की सैनिक टुकड़ी जम्मू-कश्मीर के अशांत इलाके कुपवाडा में तैनात थी। पहाड़ी इलाका होने और स्थानीय लोगों में पकड़ होने के कारण उग्रवादियों को पकड़ना कठिन था। मजीद खान एक दिन कंपनी कमांडर वीरेन्द्र तेवतिया के पास आया और धमकाया कि हमारे खिलाफ कोई कार्यवाही की तो उसके गंभीर दुष्परिणाम होंगे। कर्नल तेवतिया ने सारी बात दिगेंद्र को बताई। दिगेंद्र यह सुन तत्काल मजीद खान के पीछे दौड़े। वह सीधे पहाड़ी पर चढा़ जबकि मजीद खान पहड़ी के घुमावदार रस्ते से ३०० मीटर आगे निकल गया था। दिगेंद्र ने चोटी पर पहुँच कर मजीद खान के हथियार पर गोली चलाई। गोली से उसका पिस्टल दूर जाकर गिरा। दिगेंद्र ने तीन गोलियां चलाकर मजीद खान को ढेर कर दिया। उसे कंधे पर उठाया और मृत शरीर को कर्नल के सम्मुख रखा। कुपवाडा में इस बहादुरी के कार्य के लिए दिगेंद्र कुमार को सेना मैडल दिया गया।[1] दूसरी घटना में जम्मू-कश्मीर में मुसलमानों की पावन स्थली मस्जिद हजरत बल दरगाह पर आतंकवादियों ने कब्जा करलिया था तथा हथियारों का जखीरा जमा कर लिया था। भारतीय सेना ने धावा बोला। दिगेंद्र कुमार और साथियों ने बड़े समझ से ऑपरेशन को सफल बनाया। दिगेंद्र ने आतंकियों के कमांडर को मार गिराया व १४४ उग्रवादियों के हाथ ऊँचे करवाकर बंधक बना लिया। इस सफलता पर १९९४ में दिगेंद्र कुमार को बहादुरी का प्रशंसा पत्र मिला।[1]"
